ema100, rdp5, rdp10, rdp15, rdp20, label
1348.213, 0.021705195, -0.03348382, 0.017079776, -0.009345361, up
1349.3827, 0.016729511, -0.030882932, 0.014027354, -0.013890771, up
1352.3542, 0.011597223, -0.002514811, 0.0059748576, -0.021820286, up
1354.873, 0.0060660862, 0.028285543, -0.029874343, -0.0046909577, down
1357.1986, 0.011248391, 0.017261798, -0.031397924, 0.0033948263, down
1360.045, 0.012678543, 0.021705195, -0.03348382, 0.017079776, up
1362.7659, 0.014467576, 0.016729511, -0.030882932, 0.014027354, up
1364.0304, 0.003555075, 0.011597223, -0.002514811, 0.0059748576, up
1362.4464, -0.0064764027, 0.0060660862, 0.028285543, -0.029874343, up
1362.8674, -0.0014269676, 0.011248391, 0.017261798, -0.031397924, up
1365.1638, 0.0021291075, 0.012678543, 0.021705195, -0.03348382, up
1368.8768, 0.0073380815, 0.014467576, 0.016729511, -0.030882932, up
